"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 26 19:23:46 MSK 2020","Sat Dec 26 19:23:47 MSK 2020","1274","test","test_contact_base_info","","","","test_base_info_on_home_page",""
"passed","Sat Dec 26 19:23:41 MSK 2020","Sat Dec 26 19:23:43 MSK 2020","2039","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Sat Dec 26 19:23:55 MSK 2020","Sat Dec 26 19:23:56 MSK 2020","510","test","test_group_list_db_matches_ui","","","","test_group_list",""
"failed","Sat Dec 26 19:23:44 MSK 2020","Sat Dec 26 19:23:44 MSK 2020","307","test","test_add_group","","","","test_add_group[None:Group1':Header1:Footer1]",""
"passed","Sat Dec 26 19:23:39 MSK 2020","Sat Dec 26 19:23:40 MSK 2020","811","test","test_add_contact","","","","test_add_contact[None:firstname4:email_1@test.te:email_1@test.te]",""
"passed","Sat Dec 26 19:23:37 MSK 2020","Sat Dec 26 19:23:37 MSK 2020","819","test","test_add_contact","","","","test_add_contact[None:firstname2:email_1@test.te:email_1@test.te]",""
"passed","Sat Dec 26 19:24:07 MSK 2020","Sat Dec 26 19:24:07 MSK 2020","551","test","test_modify_group","","","","test_modify_group[None:Group1':Header1:Footer1]",""
"passed","Sat Dec 26 19:23:45 MSK 2020","Sat Dec 26 19:23:45 MSK 2020","315","test","test_add_group","","","","test_add_group[None:Group3:Header3:Footer3]",""
"passed","Sat Dec 26 19:21:34 MSK 2020","Sat Dec 26 19:21:35 MSK 2020","301","test","test_add_group","","","","test_add_group[None:Group1:Header1:Footer1]",""
"passed","Sat Dec 26 19:24:03 MSK 2020","Sat Dec 26 19:24:04 MSK 2020","1257","test","test_modify_contact","","","","test_modify_name_data[None:firstname4:email_1@test.te:email_1@test.te]",""
"passed","Sat Dec 26 19:24:07 MSK 2020","Sat Dec 26 19:24:08 MSK 2020","535","test","test_modify_group","","","","test_modify_group[None:Group2:Header2:Footer2]",""
"passed","Sat Dec 26 19:23:48 MSK 2020","Sat Dec 26 19:23:49 MSK 2020","699","test","test_contact_phones","","","","test_phones_on_home_page",""
"passed","Sat Dec 26 19:23:55 MSK 2020","Sat Dec 26 19:23:55 MSK 2020","524","test","test_del_group","","","","test_delete_some_group",""
"passed","Sat Dec 26 19:23:40 MSK 2020","Sat Dec 26 19:23:41 MSK 2020","856","test","test_add_contact","","","","test_add_contact[None:firstname5:email_1@test.te:email_1@test.te]",""
"broken","Sat Dec 26 19:23:49 MSK 2020","Sat Dec 26 19:23:49 MSK 2020","481","test","test_contact_phones","","","","test_phones_on_contact_view_page",""
